Language,Code,snowball,marimo,nltk,stopwords-iso,Other
Afrikaans,af,,,,TRUE,
Arabic,ar,,TRUE,TRUE,TRUE,misc
Armenian,hy,,,,TRUE,
Azerbaijani,az,,,TRUE,,
Basque,eu,,,,TRUE,
Bengali,bn,,,,TRUE,
Breton,br,,,,TRUE,
Bulgarian,bg,,,,TRUE,
Catalan,ca,,,,TRUE,misc
Chinese,zh,,TRUE,,TRUE,misc
Croatian,hr,,,,TRUE,
Czech,cs,,,,TRUE,
Danish,da,TRUE,,TRUE,TRUE,
Dutch,nl,TRUE,,TRUE,TRUE,
English,en,TRUE,TRUE,TRUE,TRUE,smart
Esperanto,eo,,,,TRUE,
Estonian,et,,,,TRUE,
Finnish,fi,TRUE,,TRUE,TRUE,
French,fr,TRUE,,TRUE,TRUE,
Galician,gl,,,,TRUE,
German,de,TRUE,TRUE,TRUE,TRUE,
Greek,el,,,,TRUE,misc
Greek (ancient),grc,,,,,"ancient, perseus"
Gujarati,gu,,,,,misc
Hausa,ha,,,,TRUE,
Hebrew,he,,TRUE,,TRUE,
Hindi,hi,,,,TRUE,
Hungarian,hu,TRUE,,TRUE,TRUE,
Indonesian,id,,,TRUE,TRUE,
Irish,ga,,,,TRUE,
Italian,it,TRUE,,TRUE,TRUE,
Japanese,ja,,TRUE,,TRUE,
Kazakh,kk,,,TRUE,,
Korean,ko,,TRUE,,TRUE,
Kurdish,ku,,,,TRUE,
Latin,la,,,,TRUE,"ancient, perseus"
Lithuanian,lt,,,,TRUE,
Latvian,lv,,,,TRUE,
Malay,ms,,,,TRUE,
Marathi,mr,,,,TRUE,
Nepali,mr,,,TRUE,,
Norwegian,no,TRUE,,TRUE,TRUE,
Persian,fa,,,,TRUE,
Polish,pl,,,,TRUE,
Portuguese,pt,TRUE,,TRUE,TRUE,
Romanian,ro,TRUE,,TRUE,TRUE,
Russian,ru,TRUE,TRUE,TRUE,TRUE,
Slovak,sk,,,,TRUE,
Slovenian,sl,,,TRUE,TRUE,
Somali,so,,,,TRUE,
Southern Sotho,st,,,,TRUE,
Spanish,es,TRUE,,TRUE,TRUE,
Swahili,sw,,,,TRUE,
Swedish,sv,TRUE,,TRUE,TRUE,
Thai,th,,,,TRUE,
Tagalog,tl,,,,TRUE,
Tajik,tg,,,TRUE,,
Turkish,tr,,,TRUE,TRUE,
Ukrainian,uk,,,,TRUE,
Urdu,ur,,,,TRUE,
Vietnamese,vi,,,,TRUE,
Yoruba,yo,,,,TRUE,
Zulu,zu,,,,TRUE,
